1,"Berkeley, USA"
2,"Bilbao, Spain"
3,"Boston/New York, USA"
4,"Columbus, USA"
5,"Hamburg, Germany"
6,"Kansas City, USA"
7,"La Jolla, USA"
8,"London, UK"
9,"Los Angeles, USA"
10,"Madrid, Spain"
11,"Marietta, USA"
12,"Melbourne, Australia"
13,"Milwaukee, USA"
14,"Montreal, Canada"
15,"New Delhi, India"
16,"New York City, USA"
17,"Rantoul, USA"
18,"San Diego, USA"
19,"San Francisco, USA"
20,"Santiago de Compostela, Spain"
21,"Seattle, USA"
22,"Stevenage, UK"
23,"Stuttgart, Germany"
24,"Tokyo, Japan"
25,"Toronto, Canada"
26,"Tuscaloosa, USA"
27,"Vancouver, Canada"
