1,Alfaguara
2,Andrews McMeel Publishing
3,Archaia
4,Astiberri
5,Avatar Press
6,Ballantine Books
7,Bloomsbury
8,Bloomsbury USA
9,Cartoon Books
10,Conundrum Press
11,Crown
12,Dark Horse
13,DC Comics
14,Doubleday
15,Douglas and McIntyre
16,Dover Publications
17,Drawn and Quarterly
18,Eclipse Books
19,Example Product Manufacturer
20,Fantagraphics
21,First Second
22,Fleetway Publications
23,Four Walls Eight Windows
24,Groundwood Books
25,HarperCollins Publishers Ltd
26,Harry N. Abrams
27,"Henry Holt and Company, LLC"
28,Houghton Mifflin Harcourt
29,"Humanoids, Inc"
30,IDW Publishing
31,Image Comics
32,Jet City Comics
33,Knopf
34,Kodansha Ltd
35,Last Gasp
36,Lothian  Books
37,Markosia Enterprises Ltd
38,Marlowe and Company
39,Marvel
40,NBM Publishing
41,Panini Verlags GmbH
42,Pantheon
43,Penguin Books
44,Penguin Group
45,Picador
46,Rowohlt Taschenbuch Verlag
47,Sasquatch Books
48,Schocken Books and Random House
49,Seal Press
50,Secret Acres
51,Simon and Schuster
52,Spectra
53,Top Shelf Productions
54,University Alabama Press
55,University of Washington Press
56,Vertical
57,Vertigo
58,Villard
59,W. W. Norton and Company
60,WildStorm
62,Pumisoft
